Name,Latitude,Longitude,Platform
Kaoru HIROO,35.6511293,139.7237414,Tabelog
Sushi Takamitsu,35.6561242,139.7772135,Tabelog
L'ecrin,35.6718956,139.7653829,Tabelog
Suzuta Shiki,35.6611846,139.7253052,Tabelog
Takajo Kotobuki,35.7104438,139.7950559,Tabelog
sushi riku,35.6498903,139.7212573,Tabelog
Ryugin,35.6739622,139.7596299,Tabelog
Tsushima,35.657563,139.7276683,Tabelog
Kohaku,35.7008106,139.7408453,Tabelog
Takumi Shingo,35.6715979,139.7238344,Tabelog
Sushi Hashiguchi,35.6775332,139.7324515,Tabelog
Sushi Yoshitake,35.6689218,139.7619535,Tabelog
Isoda,35.6852265,139.7820724,Tabelog
Restaurant Raffinage,35.6701935,139.7650003,Tabelog
Restaurant La FinS,35.6642596,139.756543,Tabelog
Kiyota Hanare,35.6716281,139.7637047,Tabelog
Hommage,35.7184014,139.7970136,Tabelog
EdiTion Koji Shimomura,35.6655427,139.7382225,Tabelog
Akasaka Kitafuku,35.6730582,139.7377192,Tabelog
Eiki,35.6456743,139.7168163,Tabelog
Akasaka Eigetsu,35.6745648,139.7375604,Tabelog
Sushi Saeki,35.6717919,139.7612388,Tabelog
Hongshiki Ryori Koki,35.6667277,139.7515822,Tabelog
Minami Aoyama Nana Chome,35.6571045,139.718034,Tabelog
shokudou aca,35.6624927,139.743728,Tabelog
Sumibi Yaki Yuji,35.6626422,139.6972857,Tabelog
Japanese cuisine Kutan,35.6715885,139.7740274,Tabelog
Kappo Muroi,35.6617031,139.7207984,Tabelog
SATO Brian Hon Ten,35.70462,139.6343204,Tabelog
Tokyo Niku Shabuya,35.6985348,139.7034628,Tabelog
AZUR et MASA UEKI,35.6610177,139.721816,Tabelog
Sanlucar BAR,35.7036291,139.7353152,Tabelog
Ichikawa,35.6479882,139.7359092,Tabelog
unis,35.666653,139.748574,Tabelog
Azabu Muroi,35.6710873,139.7631833,Tabelog
Ginza Kani Matsu,35.6681009,139.7625482,Tabelog
Sugaya,35.6552757,139.7424808,Tabelog
commedia,35.6684257,139.8102337,Tabelog
Kashiwade no Tsukasa Suikouan,35.6570615,139.7405577,Tabelog
L'atelier de Plaisir,35.6416003,139.6057903,Tabelog
La Blanche,35.6599442,139.7088359,Tabelog
4000 Chinese Restaurant,35.6588855,139.7188033,Tabelog
MAZ,35.6799926,139.7379363,Tabelog
Kanjou,35.6644785,139.7316233,Tabelog
SATO BRIAN Osaka Umeda Ten,35.705267,139.6359043,Tabelog
Sumibi Yakiniku Nakahara,35.6891599,139.7352518,Tabelog
Japanese cuisine Tagetsu,35.6640889,139.7094477,Tabelog
Aji Hiro,35.6705639,139.7771191,Tabelog
Ara Ki,35.6710888,139.7354193,Tabelog
Hakuun,35.6660359,139.7181042,Tabelog
Tomato,35.7025554,139.6196993,Tabelog
AIGRE DOUCE,35.7224723,139.7006505,Tabelog
Yakitori Omino,35.7098647,139.8158909,Tabelog
Tempura Fukamachi,35.6764566,139.7704595,Tabelog
Tomidokoro,35.6619119,139.7540636,Tabelog
Sushi Matsuura,35.6444824,139.7276922,Tabelog
Jigen Do,35.6772902,139.7362154,Tabelog
Sushi Nishizaki,35.6689079,139.671468,Tabelog
En Sui,35.6441889,139.7023379,Tabelog
Tomura,35.66895530000001,139.7501934,Tabelog
Sushi Masuda,35.6655992,139.7146293,Tabelog
Tori Shige,35.68795360000001,139.698908,Tabelog
Tamawarai,35.6644778,139.7046895,Tabelog
Ramen FeeL,35.788712,139.2217761,Tabelog
Tempura Kondo,35.6712111,139.7634809,Tabelog
USHIGORO S. GINZA,35.6692404,139.7619253,Tabelog
Ranmaru,35.6270637,139.7086689,Tabelog
Akasaka Kikunoi,35.6699391,139.7340557,Tabelog
Torisho Ishii Hina,35.6499925,139.7331743,Tabelog
recte,35.6489302,139.7059561,Tabelog
Le Mange-Tout,35.6981502,139.7325667,Tabelog
Toriryori Torishou,35.6916821,139.7242203,Tabelog
a tes souhaits!,35.708977,139.5907094,Tabelog
Ginza Sushi Kanesaka Hon Ten,35.6679846,139.7626384,Tabelog
Tokyo En,35.6703772,139.7655179,Tabelog
Kiyota,35.6714621,139.7608853,Tabelog
Ginza Kitafuku,35.6701249,139.7611427,Tabelog
Onarimon Haru,35.6601761,139.7545584,Tabelog
Mori Fuji,35.6977182,139.7338071,Tabelog
tens.,35.6697281,139.7168511,Tabelog
Raa Menya Shima,35.6883038,139.6809081,Tabelog
Gyopao Gyoza Roppongi,35.6635875,139.7321578,Tripadvisor
Sushi Koshikawa,35.6734093,139.7315136,Tripadvisor
Teppanyaki Sumiyaki Saito,35.6624904,139.7325036,Tripadvisor
Rokkasen Otakibashiidori,35.6954537,139.6986833,Tripadvisor
Premium Sake Pub Gashue,35.7094403,139.7779731,Tripadvisor
